category_name,brand_name,waves,mean_p,obs_var,noise_var,signal_var,reliability,max_attainable_r
Cafes,The Coffee Club,17,0.5020212417154706,0.0013203470559233388,8.514107512017813e-4,4.6893630472155754e-4,0.3551613968598758,0.5959541902360246
Cafes,Zarraffa's,17,0.1802925356912353,6.088678203110354e-4,5.043728627704316e-4,1.0449495754060378e-4,0.17162174458033164,0.41427254866854457
Car Insurance,AAMI,31,0.4115642512442903,9.782389508232916e-4,0.0010043849012232894,0,0,0
Car Insurance,Bingle,31,0.06412766691709677,1.343739461890687e-4,2.493976202584441e-4,0,0,0
Car Insurance,Budget Direct,31,0.3209858331599355,0.001479818762376546,9.029637659305721e-4,5.768549964459738e-4,0.38981462535287864,0.6243513636990622
Car Insurance,Huddle,31,0.015123479445387096,8.619658741519895e-5,6.420768442371951e-5,2.1988902991479435e-5,0.25510178129861966,0.5050760153666175
Car Insurance,Koba,31,0.006496159118129032,3.636616242736136e-5,2.6179495578679572e-5,1.0186666848681787e-5,0.2801138797372112,0.5292578575110729
Car Insurance,NRMA,31,0.31575843703967743,7.980498685331973e-4,8.972368404379041e-4,0,0,0
Car Insurance,RACQ,31,0.17069823191464517,5.751511870558806e-4,5.845891788216572e-4,0,0,0
Car Insurance,ROLLiN' Insurance,31,0.01295604366716129,5.898481184689139e-5,5.3568233370037636e-5,5.416578476853757e-6,0.09183005433523682,0.3030347411357926
Car Insurance,Suncorp,31,0.15770956482990323,6.25818294855372e-4,5.502962526378806e-4,7.55220422174914e-5,0.12067726820761082,0.3473863385448697
Car Insurance,Youi,31,0.24743646345648387,0.0018136877612200252,7.702936399226182e-4,0.001043394121297407,0.5752887258805454,0.758477900719952
"Chips, Crisps, Crackers",Boulder,37,0.03205138689497297,1.488885085973737e-4,1.1641180708151568e-4,3.247670151585802e-5,0.2181276568743257,0.46704138668251416
"Chips, Crisps, Crackers",Burts,37,0.029892563305783784,1.1322835134230064e-4,1.1202641770031624e-4,1.2019336419843936e-6,0.010615129759779227,0.10302975181848797
"Chips, Crisps, Crackers",Kettle,37,0.652188558850946,0.001658396291186776,8.706582635075093e-4,7.877380276792667e-4,0.47499987298907204,0.6892023454610932
"Chips, Crisps, Crackers",Proper Crisps,37,0.040793973706216215,4.7648112949655097e-4,1.489721989500836e-4,3.2750893054646736e-4,0.6873492154715816,0.8290652661109266
"Chips, Crisps, Crackers",Red Rock Deli,37,0.6934324790887028,0.0024740848428351217,8.100152929403901e-4,0.0016640695498947315,0.6726000341960094,0.8201219630006317
"Chips, Crisps, Crackers",Snacka Changi,4,0.029617660342,5.492280941516972e-5,1.1833165166797886e-4,0,0,0
"Chips, Crisps, Crackers",Tyrells,37,0.24430934094516216,7.253665862120863e-4,7.093339333400166e-4,1.603265287206969e-5,0.02210282797253358,0.14867019866985307
Chocolate,Cadbury,35,0.8072451955746858,0.0015787611695407646,5.839334054752824e-4,9.94827764065482e-4,0.6301318928149601,0.7938084736351458
Chocolate,Darrell Lea,35,0.49531326571354284,0.00206912010493889,9.427894869670094e-4,0.0011263306179718803,0.544352459426296,0.7378024528464893
Chocolate,Ferrero,35,0.5706666230534285,0.0011303225574674045,9.270851542381834e-4,2.0323740322922106e-4,0.17980478394113786,0.4240339419682555
Chocolate,Lindt,35,0.628405399797,0.0014116915207563815,8.813286772462095e-4,5.303628435101719e-4,0.3756931565516555,0.6129381343591338
Chocolate,Nestlé,35,0.5676968755382,0.0017076303634142207,9.262414488876833e-4,7.813889145265374e-4,0.4575866834343678,0.6764515381269879
Chocolate,Tony's Chocolonely,35,0.05367811343771429,9.317479442127866e-4,1.9174225262372493e-4,7.400056915890617e-4,0.7942123148060994,0.8911859036172528
Chocolate,Whittaker's,35,0.3531363244438857,0.0011581529826868203,8.665494995527812e-4,2.9160348313403916e-4,0.251783216460353,0.5017800478898629
