lag_months,mean_r,n_brands,run
-1,-0.012736671962808466,380,placebo_70
0,0.008590442926433354,381,placebo_70
1,0.024490943032699813,381,placebo_70
2,0.03897585638960897,371,placebo_70
3,0.04401307557968442,363,placebo_70
-3,0.004401911488834802,360,placebo_71
-2,3.405643523638726e-4,369,placebo_71
-1,-0.009746755326339713,379,placebo_71
0,-0.004561703706295681,380,placebo_71
1,0.0023496391143499654,380,placebo_71
2,0.018287928535629754,370,placebo_71
3,0.025467694023777018,361,placebo_71
-3,-0.010363942256635143,360,placebo_72
-2,-0.0017416904054964634,369,placebo_72
-1,0.0036620462910414027,379,placebo_72
0,-0.0027939066636181596,379,placebo_72
1,-0.0036056637302932446,379,placebo_72
2,0.006599758647090811,369,placebo_72
3,0.011520221161219453,360,placebo_72
-3,-0.005987590927860204,363,placebo_73
-2,0.006614384502312023,371,placebo_73
-1,0.0017740960001490962,381,placebo_73
0,0.011157795928580442,381,placebo_73
1,0.015513577693069578,381,placebo_73
2,0.02912116802448967,371,placebo_73
3,0.02406328250098291,363,placebo_73
-3,-0.020021856075710217,360,placebo_74
-2,-0.03014116193599054,369,placebo_74
-1,-0.029970944188557915,378,placebo_74
0,-0.015044488763387442,378,placebo_74
1,-0.0012612006324874186,378,placebo_74
2,-0.009915019174914814,369,placebo_74
3,-0.001114361153555803,360,placebo_74
-3,-0.03725687069839251,359,placebo_75
-2,-0.02218128868777608,368,placebo_75
-1,-0.004349598236033041,378,placebo_75
0,0.008064444194112425,378,placebo_75
1,0.015268430417752051,378,placebo_75
2,0.01807311519262223,368,placebo_75
3,0.012238988773759311,359,placebo_75
-3,-0.004977229180120086,362,placebo_76
-2,-0.015604368156147512,371,placebo_76
-1,-0.0017942696922195011,381,placebo_76
0,0.010173767270266155,381,placebo_76
1,0.02479352916171689,381,placebo_76
2,0.0297434492606161,371,placebo_76
3,0.02717879436490867,362,placebo_76
-3,0.008792356756376803,360,placebo_77
-2,0.013751600632180842,369,placebo_77
-1,0.026206352833248948,378,placebo_77
0,0.039001670825334435,378,placebo_77
1,0.04181704912366718,378,placebo_77
2,0.03127730752749548,369,placebo_77
3,0.020782463796269548,360,placebo_77
-3,0.025652808901406112,362,placebo_78
-2,0.019609941832160315,371,placebo_78
