lag_months,mean_r,n_brands,run
-1,-0.02674900631198007,379,placebo_41
0,-0.03580266540614101,379,placebo_41
1,-0.04405236925079749,379,placebo_41
2,-0.05139677503171928,369,placebo_41
3,-0.04334715006573503,360,placebo_41
-3,0.0014566580855411954,362,placebo_42
-2,0.01564801291675496,371,placebo_42
-1,0.021217406702358357,380,placebo_42
0,0.009720936616665824,380,placebo_42
1,-0.0029683694100346423,380,placebo_42
2,-0.0031226918869039564,371,placebo_42
3,0.015745560233873152,362,placebo_42
-3,-0.005299677299000754,361,placebo_43
-2,0.010521975187552332,370,placebo_43
-1,0.022089390627851976,380,placebo_43
0,0.019882607769566605,380,placebo_43
1,0.011525307608149115,380,placebo_43
2,0.010986273368131495,370,placebo_43
3,0.017141111455385195,361,placebo_43
-3,-0.01575895200664889,364,placebo_44
-2,0.002149855573051623,372,placebo_44
-1,0.020068746533814467,380,placebo_44
0,0.023137070667929357,381,placebo_44
1,0.0223618769231594,381,placebo_44
2,0.007077104262405659,373,placebo_44
3,-0.006185336799321437,365,placebo_44
-3,-0.017337757816955315,360,placebo_45
-2,-0.030313159862998342,369,placebo_45
-1,-0.036350409081003454,379,placebo_45
0,-0.03370782355335597,379,placebo_45
1,-0.02435777615609034,379,placebo_45
2,-0.02932734657458114,369,placebo_45
3,-0.02195866480942383,360,placebo_45
-3,-0.024742759641938773,364,placebo_46
-2,-0.03091360680226139,373,placebo_46
-1,-0.022285641310150248,383,placebo_46
0,-0.020412809355434186,383,placebo_46
1,-0.018718825267229275,383,placebo_46
2,-0.0193198943659715,373,placebo_46
3,-0.0035062550789132867,364,placebo_46
-3,0.024768145221393437,362,placebo_47
-2,0.01659789024131801,371,placebo_47
-1,0.016376205435930342,381,placebo_47
