category_name,brand_name,sos,soc,soa,sop,consideration,awareness,conversion,waves
Fresh Milk (Dairy),PURA,0.3715579180644008,0.23598841751861166,0.21389458524933339,0.23345930896159012,0.3487610084425625,0.622654537601,0.5604439338059954,16
Fresh Milk (Dairy),Pauls,0.3121131001442386,0.29836851723505353,0.2585368016187276,0.2305858643995858,0.44089167770825,0.7528088928561875,0.5863689554244701,16
Fresh Milk (Dairy),Zymil,0.061306224402788295,0.10038679886723761,0.1515796125101932,0.09449229460054376,0.148982836933875,0.4416030824046875,0.33751400903600026,16
Fresh Milk (Dairy),a2 Milk,0.08478378078600735,0.21488474627658705,0.24599990707621744,0.2688748639879612,0.3175224839756875,0.716304366079,0.44307256057534306,16
Furniture & Homeware,Castlery,0.012310519363312285,0.012002675923636989,0.013682521864707814,0.010763893776394123,0.03180142581247826,0.06019265097882609,0.5302055702126927,23
Furniture & Homeware,Ecosa,0.021146994860734108,0.021082406801499122,0.028290764790005068,0.008877706589333647,0.05592611967230435,0.12397381338608696,0.4532306867150014,23
Furniture & Homeware,Fantastic Furniture,0.24708751640439128,0.19682682639342255,0.18525176216084968,0.22982341800680517,0.50197230099832,0.7850505396344399,0.6391403365471288,25
Furniture & Homeware,Freedom,0.10623441037492136,0.2530898675985113,0.22936330828720344,0.2626761814674284,0.4924652914928649,0.7474924520641621,0.6580554582190181,37
Furniture & Homeware,Ikea,0.32998624778604935,0.2521391702870895,0.1988117914206517,0.3968350705105809,0.6672003324723044,0.8717136203381739,0.7651619369724824,23
Furniture & Homeware,Koala,0.019820670695718027,0.07969878279814731,0.09664868314909515,0.03014092617633615,0.2111692379122174,0.423918445642,0.49792318503037697,23
Furniture & Homeware,Lounge Lovers,0.022493883541311484,0.029984278083676298,0.03271525839837099,0.022086469960342754,0.05874137229762162,0.10744165411175675,0.5437278968836413,37
Furniture & Homeware,Nick Scali,0.047464253804786645,0.16422050456862436,0.20501448731039584,0.1342616598807667,0.3192316799081892,0.6673483723388378,0.4775762702317232,37
