category_name,brand_name,query_token,kind,detail,tier
Department Stores,Kmart,Kmart,term,naive:raw-term,trends.naive
Department Stores,Myer,Myer,term,naive:raw-term,trends.naive
Department Stores,Salvos Stores,Salvos Stores,term,naive:raw-term,trends.naive
Department Stores,Target,Target,term,naive:raw-term,trends.naive
Eco Products,Adore,Adore,term,naive:raw-term,trends.naive
Eco Products,Biome,Biome,term,naive:raw-term,trends.naive
Eco Products,Flora & Fauna,Flora & Fauna,term,naive:raw-term,trends.naive
Eco Products,Go for Zero,Go for Zero,term,naive:raw-term,trends.naive
Eco Products,Healthy Life,Healthy Life,term,naive:raw-term,trends.naive
Eco Products,Little Eco Shop,Little Eco Shop,term,naive:raw-term,trends.naive
Fast Food,FISHBOWL,FISHBOWL,term,naive:raw-term,trends.naive
Fast Food,Grill'd,Grill'd,term,naive:raw-term,trends.naive
Fast Food,Guzman y Gomez,Guzman y Gomez,term,naive:raw-term,trends.naive
Fast Food,Hungry Jack's,Hungry Jack's,term,naive:raw-term,trends.naive
Fast Food,KFC,KFC,term,naive:raw-term,trends.naive
Fast Food,Mad Mex,Mad Mex,term,naive:raw-term,trends.naive
Fast Food,McDonalds,McDonalds,term,naive:raw-term,trends.naive
Fast Food,Oporto,Oporto,term,naive:raw-term,trends.naive
Fast Food,Red Rooster,Red Rooster,term,naive:raw-term,trends.naive
Fast Food,Roll'd,Roll'd,term,naive:raw-term,trends.naive
Fast Food,Schnitz,Schnitz,term,naive:raw-term,trends.naive
Fast Food,Soul Origin,Soul Origin,term,naive:raw-term,trends.naive
Fast Food,Subway,Subway,term,naive:raw-term,trends.naive
Fast Food,Taco Bell,Taco Bell,term,naive:raw-term,trends.naive
Fast Food,Zambrero,Zambrero,term,naive:raw-term,trends.naive
Female Fashion,Country Road,Country Road,term,naive:raw-term,trends.naive
Female Fashion,Cue,Cue,term,naive:raw-term,trends.naive
Female Fashion,Decjuba,Decjuba,term,naive:raw-term,trends.naive
Female Fashion,Forever New,Forever New,term,naive:raw-term,trends.naive
Female Fashion,Gorman,Gorman,term,naive:raw-term,trends.naive
Female Fashion,Marcs,Marcs,term,naive:raw-term,trends.naive
Female Fashion,Portmans,Portmans,term,naive:raw-term,trends.naive
Female Fashion,Review,Review,term,naive:raw-term,trends.naive
Female Fashion,Seed Heritage,Seed Heritage,term,naive:raw-term,trends.naive
Female Fashion,Veronika Maine,Veronika Maine,term,naive:raw-term,trends.naive
Female Fashion,Witchery,Witchery,term,naive:raw-term,trends.naive
Female Skincare,Alpha-H,Alpha-H,term,naive:raw-term,trends.naive
Female Skincare,Biologi,Biologi,term,naive:raw-term,trends.naive
Female Skincare,Emma Lewisham,Emma Lewisham,term,naive:raw-term,trends.naive
Female Skincare,Go-to-skincare,Go-to-skincare,term,naive:raw-term,trends.naive
Female Skincare,Grown Alchemist,Grown Alchemist,term,naive:raw-term,trends.naive
Female Skincare,Kora Organics,Kora Organics,term,naive:raw-term,trends.naive
Female Skincare,Rationale,Rationale,term,naive:raw-term,trends.naive
Female Skincare,Ren Skincare,Ren Skincare,term,naive:raw-term,trends.naive
Feminine Hygiene Products (Female Only),Barely Intimate,Barely Intimate,term,naive:raw-term,trends.naive
Feminine Hygiene Products (Female Only),Canesten,Canesten,term,naive:raw-term,trends.naive
Feminine Hygiene Products (Female Only),Femfresh,Femfresh,term,naive:raw-term,trends.naive
Feminine Hygiene Products (Female Only),Replens,Replens,term,naive:raw-term,trends.naive
Feminine Hygiene Products (Female Only),Summer’s Eve,Summer’s Eve,term,naive:raw-term,trends.naive
Feminine Hygiene Products (Female Only),Vagisil,Vagisil,term,naive:raw-term,trends.naive
Feminine Hygiene Products (Female Only),Vush,Vush,term,naive:raw-term,trends.naive
Floor Cleaning Appliances,Bissell,Bissell,term,naive:raw-term,trends.naive
Floor Cleaning Appliances,Dyson,Dyson,term,naive:raw-term,trends.naive
Floor Cleaning Appliances,Hoover,Hoover,term,naive:raw-term,trends.naive
Floor Cleaning Appliances,Kärcher,Kärcher,term,naive:raw-term,trends.naive
Floor Cleaning Appliances,Shark,Shark,term,naive:raw-term,trends.naive
Floor Cleaning Appliances,Tineco,Tineco,term,naive:raw-term,trends.naive
Floor Cleaning Appliances,Vax,Vax,term,naive:raw-term,trends.naive
Fresh Meat & Poultry,Cleaver's Organic,Cleaver's Organic,term,naive:raw-term,trends.naive
Fresh Meat & Poultry,Coles Finest,Coles Finest,term,naive:raw-term,trends.naive
Fresh Meat & Poultry,Coles Graze,Coles Graze,term,naive:raw-term,trends.naive
Fresh Meat & Poultry,Farm Grown Organic,Farm Grown Organic,term,naive:raw-term,trends.naive
Fresh Meat & Poultry,Lilydale,Lilydale,term,naive:raw-term,trends.naive
Fresh Meat & Poultry,Macro,Macro,term,naive:raw-term,trends.naive
Fresh Milk (Dairy),Dairy Farmers,Dairy Farmers,term,naive:raw-term,trends.naive
Fresh Milk (Dairy),Farmhouse Gold,Farmhouse Gold,term,naive:raw-term,trends.naive
Fresh Milk (Dairy),Norco,Norco,term,naive:raw-term,trends.naive
Fresh Milk (Dairy),PURA,PURA,term,naive:raw-term,trends.naive
Fresh Milk (Dairy),Pauls,Pauls,term,naive:raw-term,trends.naive
Fresh Milk (Dairy),Zymil,Zymil,term,naive:raw-term,trends.naive
Fresh Milk (Dairy),a2 Milk,a2 Milk,term,naive:raw-term,trends.naive
Furniture & Homeware,Brosa,Brosa,term,naive:raw-term,trends.naive
Furniture & Homeware,Castlery,Castlery,term,naive:raw-term,trends.naive
Furniture & Homeware,Ecosa,Ecosa,term,naive:raw-term,trends.naive
Furniture & Homeware,Fantastic Furniture,Fantastic Furniture,term,naive:raw-term,trends.naive
Furniture & Homeware,Freedom,Freedom,term,naive:raw-term,trends.naive
Furniture & Homeware,Ikea,Ikea,term,naive:raw-term,trends.naive
Furniture & Homeware,Koala,Koala,term,naive:raw-term,trends.naive
Furniture & Homeware,Lounge Lovers,Lounge Lovers,term,naive:raw-term,trends.naive
Furniture & Homeware,Nick Scali,Nick Scali,term,naive:raw-term,trends.naive
Furniture & Homeware,Temple & Webster,Temple & Webster,term,naive:raw-term,trends.naive
Furniture & Homeware,West Elm,West Elm,term,naive:raw-term,trends.naive
Garden Care,BioGuano,BioGuano,term,naive:raw-term,trends.naive
Garden Care,Brunnings,Brunnings,term,naive:raw-term,trends.naive
Garden Care,Garden Basics,Garden Basics,term,naive:raw-term,trends.naive
Garden Care,Neutrog,Neutrog,term,naive:raw-term,trends.naive
Garden Care,PowerFeed,PowerFeed,term,naive:raw-term,trends.naive
Garden Care,Richgro,Richgro,term,naive:raw-term,trends.naive
Garden Care,Scotts,Scotts,term,naive:raw-term,trends.naive
Garden Care,Seasol,Seasol,term,naive:raw-term,trends.naive
Garden Care,Yates,Yates,term,naive:raw-term,trends.naive
Haircare,BondiBoost,BondiBoost,term,naive:raw-term,trends.naive
Haircare,Fruits,Fruits,term,naive:raw-term,trends.naive
Haircare,Garnier Fructis,Garnier Fructis,term,naive:raw-term,trends.naive
Haircare,Georgiemane,Georgiemane,term,naive:raw-term,trends.naive
Haircare,Glow Lab,Glow Lab,term,naive:raw-term,trends.naive
Haircare,Herbal Essences,Herbal Essences,term,naive:raw-term,trends.naive
Haircare,MONDAY,MONDAY,term,naive:raw-term,trends.naive
Haircare,My Soda,My Soda,term,naive:raw-term,trends.naive
Haircare,OC Naturals,OC Naturals,term,naive:raw-term,trends.naive
Haircare,OGX,OGX,term,naive:raw-term,trends.naive
Haircare,Palmolive,Palmolive,term,naive:raw-term,trends.naive
Haircare,Sukin,Sukin,term,naive:raw-term,trends.naive
Haircare,Sunsilk,Sunsilk,term,naive:raw-term,trends.naive
Haircare,Thanks To Nature,Thanks To Nature,term,naive:raw-term,trends.naive
Health & Beauty Retailers,Adore Beauty,Adore Beauty,term,naive:raw-term,trends.naive
Health & Beauty Retailers,Biome,Biome,term,naive:raw-term,trends.naive
Health & Beauty Retailers,Chemist Warehouse,Chemist Warehouse,term,naive:raw-term,trends.naive
Health & Beauty Retailers,Mecca,Mecca,term,naive:raw-term,trends.naive
Health & Beauty Retailers,Nourished Life,Nourished Life,term,naive:raw-term,trends.naive
Health & Beauty Retailers,Shop Naturally,Shop Naturally,term,naive:raw-term,trends.naive
Healthy Beverages,Bundaberg,Bundaberg,term,naive:raw-term,trends.naive
Healthy Beverages,LoBros,LoBros,term,naive:raw-term,trends.naive
Healthy Beverages,Naked Life,Naked Life,term,naive:raw-term,trends.naive
Healthy Beverages,Nexba,Nexba,term,naive:raw-term,trends.naive
Healthy Beverages,Remedy,Remedy,term,naive:raw-term,trends.naive
Healthy Beverages,SORTED.,SORTED.,term,naive:raw-term,trends.naive
Healthy Beverages,Shine,Shine,term,naive:raw-term,trends.naive
Healthy Beverages,Ārepa,Ārepa,term,naive:raw-term,trends.naive
Holiday Destinations,Bali,Bali,term,naive:raw-term,trends.naive
Holiday Destinations,"Byron Bay, New South Wales","Byron Bay, New South Wales",term,naive:raw-term,trends.naive
Holiday Destinations,"Margaret River Region, Western Australia","Margaret River Region, Western Australia",term,naive:raw-term,trends.naive
Holiday Destinations,"Noosa, Queensland","Noosa, Queensland",term,naive:raw-term,trends.naive
Holiday Destinations,"Port Douglas, Queensland","Port Douglas, Queensland",term,naive:raw-term,trends.naive
Holiday Destinations,Tasmania,Tasmania,term,naive:raw-term,trends.naive
Holiday Destinations,Visit Noosa,Visit Noosa,term,naive:raw-term,trends.naive
Homeware,Adairs,Adairs,term,naive:raw-term,trends.naive
Homeware,Bed Bath N’ Table,Bed Bath N’ Table,term,naive:raw-term,trends.naive
Homeware,Bed Threads,Bed Threads,term,naive:raw-term,trends.naive
Homeware,Cultiver,Cultiver,term,naive:raw-term,trends.naive
Homeware,Dusk,Dusk,term,naive:raw-term,trends.naive
Homeware,Freedom,Freedom,term,naive:raw-term,trends.naive
Homeware,I Love Linen,I Love Linen,term,naive:raw-term,trends.naive
Homeware,Koala,Koala,term,naive:raw-term,trends.naive
Homeware,Pillow Talk,Pillow Talk,term,naive:raw-term,trends.naive
Homeware,Sheet Society,Sheet Society,term,naive:raw-term,trends.naive
Homeware,Sheridan,Sheridan,term,naive:raw-term,trends.naive
Homeware,Temple & Webster,Temple & Webster,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Ajax,Ajax,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Bosisto's,Bosisto's,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Dettol,Dettol,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Earth Choice,Earth Choice,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Earthwise,Earthwise,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Ecostore,Ecostore,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Koala Eco,Koala Eco,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Koh,Koh,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Lucent Globe,Lucent Globe,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Organic Choice,Organic Choice,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Pine O Cleen,Pine O Cleen,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Pleasant State,Pleasant State,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Skipper (formerly Tirtyl),Skipper (formerly Tirtyl),term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Thankyou,Thankyou,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Undo This Mess,Undo This Mess,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),White King,White King,term,naive:raw-term,trends.naive
Household Cleaners (Indoor),Zero Co,Zero Co,term,naive:raw-term,trends.naive
Kitchenware Retailers,Everten,Everten,term,naive:raw-term,trends.naive
Kitchenware Retailers,House,House,term,naive:raw-term,trends.naive
Kitchenware Retailers,Kitchen Warehouse,Kitchen Warehouse,term,naive:raw-term,trends.naive
Kitchenware Retailers,Kitchenware,Kitchenware,term,naive:raw-term,trends.naive
Kitchenware Retailers,Minimax,Minimax,term,naive:raw-term,trends.naive
Kitchenware Retailers,Myer,Myer,term,naive:raw-term,trends.naive
Kitchenware Retailers,Peter's of Kensington,Peter's of Kensington,term,naive:raw-term,trends.naive
Kitchenware Retailers,Victoria's Basement,Victoria's Basement,term,naive:raw-term,trends.naive
Laundry Care,Biozet Attack,Biozet Attack,term,naive:raw-term,trends.naive
Laundry Care,Bosisto's,Bosisto's,term,naive:raw-term,trends.naive
Laundry Care,Calgon,Calgon,term,naive:raw-term,trends.naive
Laundry Care,Cold Power,Cold Power,term,naive:raw-term,trends.naive
Laundry Care,Dynamo,Dynamo,term,naive:raw-term,trends.naive
Laundry Care,Earth Choice,Earth Choice,term,naive:raw-term,trends.naive
Laundry Care,Earthwise,Earthwise,term,naive:raw-term,trends.naive
Laundry Care,Ecostore,Ecostore,term,naive:raw-term,trends.naive
Laundry Care,Fab,Fab,term,naive:raw-term,trends.naive
Laundry Care,OMO,OMO,term,naive:raw-term,trends.naive
Laundry Care,Organic Choice,Organic Choice,term,naive:raw-term,trends.naive
Laundry Care,Radiant,Radiant,term,naive:raw-term,trends.naive
Laundry Care,Undo This Mess,Undo This Mess,term,naive:raw-term,trends.naive
Laundry Care,Woolite,Woolite,term,naive:raw-term,trends.naive
Liquor Retailer,BWS,BWS,term,naive:raw-term,trends.naive
Liquor Retailer,Bottlemart,Bottlemart,term,naive:raw-term,trends.naive
Liquor Retailer,Cellarbrations,Cellarbrations,term,naive:raw-term,trends.naive
Liquor Retailer,Dan Murphy's,Dan Murphy's,term,naive:raw-term,trends.naive
Liquor Retailer,First Choice,First Choice,term,naive:raw-term,trends.naive
Liquor Retailer,Harry Brown,Harry Brown,term,naive:raw-term,trends.naive
Liquor Retailer,Liquor Legends,Liquor Legends,term,naive:raw-term,trends.naive
Liquor Retailer,Liquorland,Liquorland,term,naive:raw-term,trends.naive
